reltime,datetime,sdnn,rmssd
41.076,2024/06/13 13:47:15.5119,15.152860964263828,18.704723111200195
41.323,2024/06/13 13:47:15.7589,15.15001612229369,18.22726894883963
41.406,2024/06/13 13:47:15.8419,16.137341574852407,19.189406799933483
41.568,2024/06/13 13:47:16.0039,16.14531710335315,20.09975124224178
41.815,2024/06/13 13:47:16.2509,16.103115997458314,20.04661234888994
42.062,2024/06/13 13:47:16.4979,15.621823815110591,19.882991056008986
42.144,2024/06/13 13:47:16.5799,17.746652590303647,22.08544015107389
42.637,2024/06/13 13:47:17.0729,18.537442693349238,22.193842990042683
42.801,2024/06/13 13:47:17.2369,18.228309421551625,23.4222116803687
43.046,2024/06/13 13:47:17.4819,17.280511912383695,23.31951972061174
43.292,2024/06/13 13:47:17.7279,16.43940458132586,23.313086453749534
43.375,2024/06/13 13:47:17.8109,16.75571612878774,22.669362584775072
43.539,2024/06/13 13:47:17.9749,16.518224000719414,22.58982071642004
43.785,2024/06/13 13:47:18.2209,16.2687204281046,22.58982071642004
44.032,2024/06/13 13:47:18.4679,16.28429184581117,22.292749194898924
44.115,2024/06/13 13:47:18.5509,16.12740225356482,22.20960753067615
44.278,2024/06/13 13:47:18.7139,16.12740225356482,22.335323294429088
44.524,2024/06/13 13:47:18.9599,16.098689887440088,22.36142511856821
44.77,2024/06/13 13:47:19.2059,15.945452996524736,22.144976857066254
46.085,2024/06/13 13:47:20.5209,17.224047610592745,23.283041038489795
46.578,2024/06/13 13:47:21.0139,17.624597492754855,23.34809057146501
46.987,2024/06/13 13:47:21.4229,17.30178384265456,22.900509455759565
47.233,2024/06/13 13:47:21.6689,16.953248764710917,22.900509455759565
47.316,2024/06/13 13:47:21.7519,17.12244611378735,22.504814299759655
47.479,2024/06/13 13:47:21.9149,16.74336375657737,22.102036105300343
47.808,2024/06/13 13:47:22.2439,17.003752121426253,21.892921230388602
48.794,2024/06/13 13:47:23.2299,17.4112197939333,21.50348808914498
49.286,2024/06/13 13:47:23.7219,19.237804018345923,21.783786019269776
49.779,2024/06/13 13:47:24.2149,20.136916404923095,21.83269719175042
50.188,2024/06/13 13:47:24.6239,20.240536315642377,21.97271034715563
50.434,2024/06/13 13:47:24.8699,19.968480910802093,21.635618780150477
50.517,2024/06/13 13:47:24.9529,19.9079490852679,21.728629347782924
50.681,2024/06/13 13:47:25.1169,19.875011747267795,20.972998513962345
51.01,2024/06/13 13:47:25.4459,19.428885948386544,20.102238681301145
51.995,2024/06/13 13:47:26.4309,18.98953129623226,20.132063977645213
52.734,2024/06/13 13:47:27.1699,18.96227349480973,20.369912452765558
52.98,2024/06/13 13:47:27.4159,19.530230030838876,18.08129788851822
53.39,2024/06/13 13:47:27.8259,19.46080647110383,18.51935924017531
53.637,2024/06/13 13:47:28.0729,18.914477821615296,16.939106627367728
53.882,2024/06/13 13:47:28.3179,18.261227061539756,16.939106627367728
54.212,2024/06/13 13:47:28.6479,18.385682835656144,17.496666349145865
54.705,2024/06/13 13:47:29.1409,18.945293292294053,16.592166826548002
55.197,2024/06/13 13:47:29.6329,18.27327676357386,16.272676485446393
55.689,2024/06/13 13:47:30.1249,17.50848726865885,16.272676485446393
56.428,2024/06/13 13:47:30.8639,17.114892352272992,16.677329922182786
56.594,2024/06/13 13:47:31.0299,16.99631467829676,16.531787562148264
56.838,2024/06/13 13:47:31.2739,15.984223543821532,16.237815945091466
57.084,2024/06/13 13:47:31.5199,15.207416520940946,16.200823024361036
57.413,2024/06/13 13:47:31.8489,16.29501722020893,17.623847480048163
57.906,2024/06/13 13:47:32.3419,19.350398730633234,16.303373883954205
58.398,2024/06/13 13:47:32.8339,21.31795422674988,16.2511538051918
58.891,2024/06/13 13:47:33.3269,20.62218981203714,16.131749233524967
59.63,2024/06/13 13:47:34.0659,19.51612949190587,16.50050504277571
59.794,2024/06/13 13:47:34.2299,19.24255341863382,16.131749233524967
60.039,2024/06/13 13:47:34.4749,17.94576759887006,15.754364474646383
60.286,2024/06/13 13:47:34.7219,17.637342829036818,15.32536024590178
60.615,2024/06/13 13:47:35.0509,18.178204708848238,15.574551892965225
61.107,2024/06/13 13:47:35.5429,18.54649330178386,15.144856112445131
61.6,2024/06/13 13:47:36.0359,18.662304498518186,15.184421841699033
62.584,2024/06/13 13:47:37.0199,18.669416874578374,15.54884776009678
62.995,2024/06/13 13:47:37.4309,18.492744771812884,15.57562197795003
63.078,2024/06/13 13:47:37.5139,20.822291326651957,17.326280616450838
63.241,2024/06/13 13:47:37.6769,20.526517752275822,18.915602025840997
63.487,2024/06/13 13:47:37.9229,20.01849719347258,18.901499058716656
64.309,2024/06/13 13:47:38.7449,23.800898273399326,22.58760722166029
64.802,2024/06/13 13:47:39.2379,26.55441171649656,22.40014880902952
65.294,2024/06/13 13:47:39.7299,28.560562794287716,22.292749194898924
65.786,2024/06/13 13:47:40.2219,30.115181187086527,21.823534696896985
66.196,2024/06/13 13:47:40.6319,29.76082822355151,24.337214302380623
66.442,2024/06/13 13:47:40.8779,29.384959793557346,24.337214302380623
66.525,2024/06/13 13:47:40.9609,29.60187940600787,24.37074749229767
66.689,2024/06/13 13:47:41.1249,29.554080567003545,24.56691542162616
67.018,2024/06/13 13:47:41.4539,29.09020848816788,24.345430782797827
68.003,2024/06/13 13:47:42.4389,28.991952906510985,24.617744277925492
68.495,2024/06/13 13:47:42.9309,29.504646039751968,24.362539550164577
68.987,2024/06/13 13:47:43.4229,29.529042785300526,24.319402404938597
69.398,2024/06/13 13:47:43.8339,29.277428440557607,24.64886745200815
69.644,2024/06/13 13:47:44.0799,29.006162642865835,24.64886745200815
69.727,2024/06/13 13:47:44.1629,29.512047023889192,24.45335696109364
69.891,2024/06/13 13:47:44.3269,28.810299084413373,25.05926309105411
70.137,2024/06/13 13:47:44.5729,28.324900705916278,25.02665245959462
70.383,2024/06/13 13:47:44.8189,28.329445304565784,24.4989795705862
70.466,2024/06/13 13:47:44.9019,28.87022090619381,25.22498761149349
70.958,2024/06/13 13:47:45.3939,29.016760911464942,25.30480850220632
71.121,2024/06/13 13:47:45.5569,28.89992642077923,26.09916984631248
71.368,2024/06/13 13:47:45.8039,28.749012976560664,26.09916984631248
71.614,2024/06/13 13:47:46.0499,27.77266083138577,25.883714313573055
71.697,2024/06/13 13:47:46.1329,26.617792856503733,25.912673861774024
71.86,2024/06/13 13:47:46.2959,25.839024215589298,25.87985059204683
72.107,2024/06/13 13:47:46.5429,25.830926843789644,25.253382611708343
72.19,2024/06/13 13:47:46.6259,25.77580171445702,25.247442114664473
72.353,2024/06/13 13:47:46.7889,24.985076005258076,24.00694344004112
72.6,2024/06/13 13:47:47.0359,25.07643487832578,22.874294160330574
72.845,2024/06/13 13:47:47.2809,25.14329050604319,22.874294160330574
73.092,2024/06/13 13:47:47.5279,22.780713762747798,19.211975432005946
73.338,2024/06/13 13:47:47.7739,20.618845302519066,19.180719485983836
73.421,2024/06/13 13:47:47.8569,18.40339798709145,19.782989325849282
73.585,2024/06/13 13:47:48.0209,15.464605490878942,20.081500607939304
73.667,2024/06/13 13:47:48.1029,15.901312025677266,17.92670261555835
73.831,2024/06/13 13:47:48.2669,16.042185765597793,18.854707634964804
74.077,2024/06/13 13:47:48.5129,15.67764350108599,18.29389697868299
74.16,2024/06/13 13:47:48.5959,15.76464836052653,18.439088914585774
74.323,2024/06/13 13:47:48.7589,15.922080381601466,18.839674448708855
74.569,2024/06/13 13:47:49.0049,15.501724042050267,18.482424083436676
74.816,2024/06/13 13:47:49.2519,14.668168679620853,18.45986637727009
74.898,2024/06/13 13:47:49.3339,14.322396254914041,18.782083661475546
75.062,2024/06/13 13:47:49.4979,14.419654530592135,18.743887892679396
75.391,2024/06/13 13:47:49.8269,14.558640835892712,19.096247449870006
76.376,2024/06/13 13:47:50.8119,14.407692708946126,18.424621208227503
76.868,2024/06/13 13:47:51.3039,16.044335126616787,17.40881003017342
77.361,2024/06/13 13:47:51.7969,17.087368460929177,17.432727841620196
77.771,2024/06/13 13:47:52.2069,17.087368460929177,18.566995807974248
78.018,2024/06/13 13:47:52.4539,15.82392339858086,17.22207885244984
78.1,2024/06/13 13:47:52.5359,15.672510526616767,17.656915547928143
78.264,2024/06/13 13:47:52.6999,15.557088047117427,17.033300717516067
78.592,2024/06/13 13:47:53.0279,16.249102539320436,17.949001829256876
79.577,2024/06/13 13:47:54.0129,16.80794147276044,17.897858344878397
80.07,2024/06/13 13:47:54.5059,17.469480777078232,17.86057109949175
80.563,2024/06/13 13:47:54.9989,18.12485433948649,17.81852968120546
81.055,2024/06/13 13:47:55.4909,19.855917789525204,18.153053003099323
81.219,2024/06/13 13:47:55.6549,19.71757486661849,19.912307751739878
81.466,2024/06/13 13:47:55.9019,19.649924687639402,19.89891119299412
83.272,2024/06/13 13:47:57.7079,21.300693421339606,22.096756926451146
83.765,2024/06/13 13:47:58.2009,21.28376965142049,22.42691834975699
84.257,2024/06/13 13:47:58.6929,20.557880162643823,22.752289262108697
84.667,2024/06/13 13:47:59.1029,19.71649638970049,22.7705950734714
86.473,2024/06/13 13:48:00.9089,19.7083621904485,22.249344559634412
86.966,2024/06/13 13:48:01.4019,19.627010476124482,22.48406843374511
87.705,2024/06/13 13:48:02.1409,22.426098302145355,22.793273861675363
87.868,2024/06/13 13:48:02.3039,22.039045810331725,24.524137769416754
88.69,2024/06/13 13:48:03.1259,24.1127857532394,26.712668654903553
89.182,2024/06/13 13:48:03.6179,24.970994668067586,26.685826450258823
89.675,2024/06/13 13:48:04.1109,24.68337427332935,27.325811973297338
90.168,2024/06/13 13:48:04.6039,24.749689421016917,27.593477490160605
90.578,2024/06/13 13:48:05.0139,24.42396128922346,28.16794868877273
90.824,2024/06/13 13:48:05.2599,24.46740736139652,27.905793902581117
90.906,2024/06/13 13:48:05.3419,24.620825686220968,28.45464226917405
91.07,2024/06/13 13:48:05.5059,24.671077580144956,29.016661880145115
91.891,2024/06/13 13:48:06.3269,24.854172387297165,29.37288999514121
92.384,2024/06/13 13:48:06.8199,24.47670720097605,29.540932054806035
92.876,2024/06/13 13:48:07.3119,24.25572571342841,29.6079944159231
93.369,2024/06/13 13:48:07.8049,24.087102477200133,28.967798213418522
93.779,2024/06/13 13:48:08.2149,23.961679176667307,29.03733229252761
94.025,2024/06/13 13:48:08.4609,23.96942496876694,28.704819572097414
94.108,2024/06/13 13:48:08.5439,23.833232858883438,28.53769437077915
94.272,2024/06/13 13:48:08.7079,23.726506831744036,28.142494558940577
95.093,2024/06/13 13:48:09.5289,23.678425118490647,28.32843094843059
96.078,2024/06/13 13:48:10.5139,23.631777748198417,28.660076761934885
96.57,2024/06/13 13:48:11.0059,25.42125547421047,29.665917593539337
97.063,2024/06/13 13:48:11.4989,27.741085344520606,29.734940165849782
97.226,2024/06/13 13:48:11.6619,27.741085344520606,31.304951684997057
97.474,2024/06/13 13:48:11.9099,27.741085344520606,31.304951684997057
97.802,2024/06/13 13:48:12.2379,26.937646177964783,30.672463220289302
98.295,2024/06/13 13:48:12.7309,26.177225338771265,30.799891774701635
99.279,2024/06/13 13:48:13.7149,25.99692731622499,30.595206596240967
99.772,2024/06/13 13:48:14.2079,25.91152053723887,30.636035426710595
100.182,2024/06/13 13:48:14.6179,25.71150733028755,30.622976123601486
100.264,2024/06/13 13:48:14.6999,25.855833731114956,30.332051254956912
100.428,2024/06/13 13:48:14.8639,24.317086372655712,29.609120216581918
100.675,2024/06/13 13:48:15.1109,24.239442541293514,27.58018612458347
100.757,2024/06/13 13:48:15.1929,22.887254898340963,25.726769456476006
100.921,2024/06/13 13:48:15.3569,22.251436735222992,25.700194551792794
101.167,2024/06/13 13:48:15.6029,22.176408713953176,24.69412885687608
101.414,2024/06/13 13:48:15.8499,21.390431849606674,24.394671549336344
101.496,2024/06/13 13:48:15.9319,22.176408713953176,24.394671549336344
101.66,2024/06/13 13:48:16.0959,22.176408713953176,25.04263031978337
101.906,2024/06/13 13:48:16.3419,21.04786553734571,24.114311103574988
102.153,2024/06/13 13:48:16.5889,21.04786553734571,23.14879406506237
102.234,2024/06/13 13:48:16.6699,21.04786553734571,23.14879406506237
102.398,2024/06/13 13:48:16.8339,20.87786046201309,23.621318055237026
102.645,2024/06/13 13:48:17.0809,20.87425406472398,23.519495459441018
102.727,2024/06/13 13:48:17.1629,21.092053305539096,23.70372685184055
102.891,2024/06/13 13:48:17.3269,21.092053305539096,23.87188024992306
103.138,2024/06/13 13:48:17.5739,21.092053305539096,23.87188024992306
103.384,2024/06/13 13:48:17.8199,20.806166194764554,23.66924868544275
103.466,2024/06/13 13:48:17.9019,20.822208523980297,23.49964538739539
103.63,2024/06/13 13:48:18.0659,20.482007803879682,23.268720062206544
103.876,2024/06/13 13:48:18.3119,20.487759171322185,22.852425108362862
104.123,2024/06/13 13:48:18.5589,18.67680348736829,21.527501790345607
104.368,2024/06/13 13:48:18.8039,13.583670047304766,21.14946807841748
104.451,2024/06/13 13:48:18.8869,13.908775035513672,16.931233465600393
104.615,2024/06/13 13:48:19.0509,13.964486977749923,17.010780895263647
104.697,2024/06/13 13:48:19.1329,11.4510954151521,15.100772607165943
104.862,2024/06/13 13:48:19.2979,11.050615003430503,14.345731072343439
